2025-07-07 17:59:04 startup archives unpack
2025-07-07 17:59:05 upgrade libnss-systemd:amd64 255.4-1ubuntu8.4 255.4-1ubuntu8.8
2025-07-07 17:59:05 status triggers-pending libc-bin:amd64 2.39-0ubuntu8.4
2025-07-07 17:59:05 status half-configured libnss-systemd:amd64 255.4-1ubuntu8.4
2025-07-07 17:59:05 status unpacked libnss-systemd:amd64 255.4-1ubuntu8.4
2025-07-07 17:59:05 status half-installed libnss-systemd:amd64 255.4-1ubuntu8.4
2025-07-07 17:59:05 status triggers-pending man-db:amd64 2.12.0-4build2
2025-07-07 17:59:05 status unpacked libnss-systemd:amd64 255.4-1ubuntu8.8
2025-07-07 17:59:05 upgrade systemd-dev:all 255.4-1ubuntu8.4 255.4-1ubuntu8.8
2025-07-07 17:59:05 status half-configured systemd-dev:all 255.4-1ubuntu8.4
2025-07-07 17:59:05 status unpacked systemd-dev:all 255.4-1ubuntu8.4
2025-07-07 17:59:05 status half-installed systemd-dev:all 255.4-1ubuntu8.4
2025-07-07 17:59:05 status unpacked systemd-dev:all 255.4-1ubuntu8.8
2025-07-07 17:59:05 upgrade systemd-timesyncd:amd64 255.4-1ubuntu8.4 255.4-1ubuntu8.8
2025-07-07 17:59:05 status half-configured systemd-timesyncd:amd64 255.4-1ubuntu8.4
2025-07-07 17:59:05 status unpacked systemd-timesyncd:amd64 255.4-1ubuntu8.4
2025-07-07 17:59:05 status half-installed systemd-timesyncd:amd64 255.4-1ubuntu8.4
2025-07-07 17:59:05 status triggers-pending dbus:amd64 1.14.10-4ubuntu4.1
2025-07-07 17:59:05 status unpacked systemd-timesyncd:amd64 255.4-1ubuntu8.8
2025-07-07 17:59:05 upgrade systemd-resolved:amd64 255.4-1ubuntu8.4 255.4-1ubuntu8.8
2025-07-07 17:59:05 status half-configured systemd-resolved:amd64 255.4-1ubuntu8.4
2025-07-07 17:59:05 status unpacked systemd-resolved:amd64 255.4-1ubuntu8.4
2025-07-07 17:59:05 status half-installed systemd-resolved:amd64 255.4-1ubuntu8.4
2025-07-07 17:59:05 status unpacked systemd-resolved:amd64 255.4-1ubuntu8.8
2025-07-07 17:59:05 upgrade libsystemd-shared:amd64 255.4-1ubuntu8.4 255.4-1ubuntu8.8
2025-07-07 17:59:05 status half-configured libsystemd-shared:amd64 255.4-1ubuntu8.4
2025-07-07 17:59:05 status unpacked libsystemd-shared:amd64 255.4-1ubuntu8.4
2025-07-07 17:59:05 status half-installed libsystemd-shared:amd64 255.4-1ubuntu8.4
2025-07-07 17:59:05 status unpacked libsystemd-shared:amd64 255.4-1ubuntu8.8
2025-07-07 17:59:05 upgrade libsystemd0:amd64 255.4-1ubuntu8.4 255.4-1ubuntu8.8
2025-07-07 17:59:05 status half-configured libsystemd0:amd64 255.4-1ubuntu8.4
2025-07-07 17:59:05 status unpacked libsystemd0:amd64 255.4-1ubuntu8.4
2025-07-07 17:59:05 status half-installed libsystemd0:amd64 255.4-1ubuntu8.4
2025-07-07 17:59:05 status unpacked libsystemd0:amd64 255.4-1ubuntu8.8
2025-07-07 17:59:06 startup packages configure
2025-07-07 17:59:06 configure libsystemd0:amd64 255.4-1ubuntu8.8 <none>
2025-07-07 17:59:06 status unpacked libsystemd0:amd64 255.4-1ubuntu8.8
